1,0,1,0;
3 4 5 6,0 1 2 3,1 1 1 1,1.117636793189609;3 4 5 6,0 0 1 2,1 0 1 1,1.1176351900085237;3 4 5 6,0 0 1 2,0 1 1 1,1.0053741097982773;3 4 5 6,0 1 0 2,1 1 0 1,1.1176017368207218;3 4 5 6,0 1 0 2,0 1 1 1,1.0059268306059925;3 4 5 6,0 1 1 2,1 1 0 1,1.1176017368207218;3 4 5 6,0 1 1 2,1 0 1 1,1.1176351900085237;3 4 5 6,0 0 0 1,1 0 0 1,1.1176001336396368;3 4 5 6,0 0 0 1,0 1 0 1,1.005799254190073;3 4 5 6,0 0 0 1,0 0 1 1,1.006237217339804;3 4 5 6,0 1 2 0,1 1 1 0,1.1165777231009633;3 4 5 6,0 1 2 0,0 1 1 1,1.0071202740513412;3 4 5 6,0 1 2 1,1 1 1 0,1.1165777231009633;3 4 5 6,0 1 2 1,1 0 1 1,1.1176351900085237;3 4 5 6,0 1 2 2,1 1 1 0,1.1165777231009633;3 4 5 6,0 1 2 2,1 1 0 1,1.1176017368207218;3 4 5 6,0 0 1 0,1 0 1 0,1.116576119919878;3 4 5 6,0 0 1 0,0 1 1 0,1.0052856069809797;3 4 5 6,0 0 1 0,0 0 1 1,1.00761909591151;3 4 5 6,0 0 1 1,1 0 1 0,1.116576119919878;3 4 5 6,0 0 1 1,1 0 0 1,1.1176001336396368;3 4 5 6,0 0 1 1,0 1 1 0,1.001237607994209;3 4 5 6,0 0 1 1,0 1 0 1,1.0026615006770638;3 4 5 6,0 1 0 0,1 1 0 0,1.1165426667320764;3 4 5 6,0 1 0 0,0 1 1 0,1.0052856069809797;3 4 5 6,0 1 0 0,0 1 0 1,1.008229035429574;3 4 5 6,0 1 0 1,1 1 0 0,1.1165426667320764;3 4 5 6,0 1 0 1,1 0 0 1,1.1176001336396368;3 4 5 6,0 1 0 1,0 1 1 0,1.0011099367146497;3 4 5 6,0 1 0 1,0 0 1 1,1.002814031638893;3 4 5 6,0 1 1 0,1 1 0 0,1.1165426667320764;3 4 5 6,0 1 1 0,1 0 1 0,1.116576119919878;3 4 5 6,0 1 1 0,0 1 0 1,1.0041256954463342;3 4 5 6,0 1 1 0,0 0 1 1,1.0045924739936647;3 4 5 6,0 1 1 1,1 1 0 0,1.1165426667320764;3 4 5 6,0 1 1 1,1 0 1 0,1.116576119919878;3 4 5 6,0 1 1 1,1 0 0 1,1.1176001336396368;3 4 5 6,0 0 0 0,1 0 0 0,1.1165410635509911;3 4 5 6,0 0 0 0,0 1 0 0,1.0030212574793127;3 4 5 6,0 0 0 0,0 0 1 0,1.003629060905399;3 4 5 6,0 0 0 0,0 0 0 1,1.0062908269459212;
4 1545,0 0,1 0,0;4 1545,0 0,0 1,0;
1545 1546,0 0,1 0,0;1545 1546,0 0,0 1,0;
1546 1547,0 0,1 0,0;1546 1547,0 0,0 1,0;
1547 1548,0 0,1 0,0;1547 1548,0 0,0 1,0;
1548 1549,0 0,1 0,0;1548 1549,0 0,0 1,0;
1549 1550,0 0,1 0,0;1549 1550,0 0,0 1,0;
1550 1551,0 0,1 0,0;1550 1551,0 0,0 1,0;
1551 1552,0 0,1 0,0;1551 1552,0 0,0 1,0;
1552 1553,0 0,1 0,0;1552 1553,0 0,0 1,0;
1553 1554,0 0,1 0,0;1553 1554,0 0,0 1,0;
1554 1555,0 0,1 0,0;1554 1555,0 0,0 1,0;
1555 1556,0 0,1 0,0;1555 1556,0 0,0 1,0;
1556 1557,0 0,1 0,0;1556 1557,0 0,0 1,0;
1557 1558,0 0,1 0,0;1557 1558,0 0,0 1,0;
1558 1559,0 0,1 0,0;1558 1559,0 0,0 1,0;
1559 1560,0 0,1 0,0;1559 1560,0 0,0 1,0;
1560 1561,0 0,1 0,0;1560 1561,0 0,0 1,0;
1561 1562,0 0,1 0,0;1561 1562,0 0,0 1,0;
1562 1563,0 0,1 0,0;1562 1563,0 0,0 1,0;
1563 1564,0 0,1 0,0;1563 1564,0 0,0 1,0;
1564 1565,0 0,1 0,0;1564 1565,0 0,0 1,0;
1565 1566,0 0,1 0,0;1565 1566,0 0,0 1,0;
1566 1567,0 0,1 0,0;1566 1567,0 0,0 1,0;
8 1567,0 0,1 0,0;8 1567,0 0,0 1,0;
8 9 10,0 1 2,1 1 1,1.1192827550449898;8 9 10,0 0 1,1 0 1,1.1192751549731237;8 9 10,0 0 1,0 1 1,1.1165486636228572;8 9 10,0 1 0,1 1 0,1.0079313068256552;8 9 10,0 1 0,0 1 1,1.1165486636228572;8 9 10,0 1 1,1 1 0,1.0072042088447217;8 9 10,0 1 1,1 0 1,1.1192751549731237;8 9 10,0 0 0,1 0 0,1.0061363579418083;8 9 10,0 0 0,0 1 0,1.0024587964883935;8 9 10,0 0 0,0 0 1,1.1165410635509911;
9 1568,0 0,1 0,0;9 1568,0 0,0 1,0;
1568 1569,0 0,1 0,0;1568 1569,0 0,0 1,0;
1569 1570,0 0,1 0,0;1569 1570,0 0,0 1,0;
1570 1571,0 0,1 0,0;1570 1571,0 0,0 1,0;
1571 1572,0 0,1 0,0;1571 1572,0 0,0 1,0;
1572 1573,0 0,1 0,0;1572 1573,0 0,0 1,0;
1573 1574,0 0,1 0,0;1573 1574,0 0,0 1,0;
1574 1575,0 0,1 0,0;1574 1575,0 0,0 1,0;
1575 1576,0 0,1 0,0;1575 1576,0 0,0 1,0;
1576 1577,0 0,1 0,0;1576 1577,0 0,0 1,0;
1577 1578,0 0,1 0,0;1577 1578,0 0,0 1,0;
1578 1579,0 0,1 0,0;1578 1579,0 0,0 1,0;
1579 1580,0 0,1 0,0;1579 1580,0 0,0 1,0;
1580 1581,0 0,1 0,0;1580 1581,0 0,0 1,0;
1581 1582,0 0,1 0,0;1581 1582,0 0,0 1,0;
1582 1583,0 0,1 0,0;1582 1583,0 0,0 1,0;
1583 1584,0 0,1 0,0;1583 1584,0 0,0 1,0;
1584 1585,0 0,1 0,0;1584 1585,0 0,0 1,0;
1585 1586,0 0,1 0,0;1585 1586,0 0,0 1,0;
1586 1587,0 0,1 0,0;1586 1587,0 0,0 1,0;
1587 1588,0 0,1 0,0;1587 1588,0 0,0 1,0;
1588 1589,0 0,1 0,0;1588 1589,0 0,0 1,0;
1589 1590,0 0,1 0,0;1589 1590,0 0,0 1,0;
1590 1591,0 0,1 0,0;1590 1591,0 0,0 1,0;
1591 1592,0 0,1 0,0;1591 1592,0 0,0 1,0;
1592 1593,0 0,1 0,0;1592 1593,0 0,0 1,0;
1593 1594,0 0,1 0,0;1593 1594,0 0,0 1,0;
1594 1595,0 0,1 0,0;1594 1595,0 0,0 1,0;
1595 1596,0 0,1 0,0;1595 1596,0 0,0 1,0;
1596 1597,0 0,1 0,0;1596 1597,0 0,0 1,0;
1597 1598,0 0,1 0,0;1597 1598,0 0,0 1,0;
1598 1599,0 0,1 0,0;1598 1599,0 0,0 1,0;
1599 1600,0 0,1 0,0;1599 1600,0 0,0 1,0;
1600 1601,0 0,1 0,0;1600 1601,0 0,0 1,0;
1601 1602,0 0,1 0,0;1601 1602,0 0,0 1,0;
1602 1603,0 0,1 0,0;1602 1603,0 0,0 1,0;
1603 1604,0 0,1 0,0;1603 1604,0 0,0 1,0;
1604 1605,0 0,1 0,0;1604 1605,0 0,0 1,0;
1605 1606,0 0,1 0,0;1605 1606,0 0,0 1,0;
1606 1607,0 0,1 0,0;1606 1607,0 0,0 1,0;
1607 1608,0 0,1 0,0;1607 1608,0 0,0 1,0;
1608 1609,0 0,1 0,0;1608 1609,0 0,0 1,0;
1609 1610,0 0,1 0,0;1609 1610,0 0,0 1,0;
12 1610,0 0,1 0,0;12 1610,0 0,0 1,0;
14 1611,0 0,1 0,0;14 1611,0 0,0 1,0;
15 1611,0 0,1 0,0;15 1611,0 0,0 1,0;
15 16 17,0 1 2,1 1 1,1.0127867475034282;15 16 17,0 0 1,0 1 1,1.0038636328369792;15 16 17,0 0 1,1 0 1,1.0041851445251988;15 16 17,0 1 0,0 1 1,1.0039106236190818;15 16 17,0 1 0,1 1 0,1.0053434821218261;15 16 17,0 1 1,1 1 0,1.0058473871773612;15 16 17,0 1 1,1 0 1,1.004594034649064;15 16 17,0 0 0,0 1 0,1.0025310765618922;15 16 17,0 0 0,0 0 1,1.0014549480763792;15 16 17,0 0 0,1 0 0,1.0028028451020958;
16 18,0 0,1 0,0;16 18,0 0,0 1,0;
18 19 20,0 1 2,1 1 1,1.0145313818305923;18 19 20,0 0 1,1 0 1,1.0051548605588618;18 19 20,0 0 1,0 1 1,1.0079781403670527;18 19 20,0 1 0,1 1 0,1.004911961516064;18 19 20,0 1 0,0 1 1,1.006097548437231;18 19 20,0 1 1,1 1 0,1.0058981175011628;18 19 20,0 1 1,1 0 1,1.0047939717430836;18 19 20,0 0 0,1 0 0,1.001950099324341;18 19 20,0 0 0,0 1 0,1.0051330794914954;18 19 20,0 0 0,0 0 1,1.0035413661200099;
1612 1613,0 0,1 0,0;1612 1613,0 0,0 1,0;
21 22 23 24,0 1 2 3,1 1 1 1,1.0151955436891207;21 22 23 24,0 0 1 2,1 0 1 1,1.0067877217124173;21 22 23 24,0 0 1 2,0 1 1 1,1.0076031851309015;21 22 23 24,0 1 0 2,1 1 0 1,1.0080009779731847;21 22 23 24,0 1 0 2,0 1 1 1,1.006298774903869;21 22 23 24,0 1 1 2,1 1 0 1,1.0086098802306174;21 22 23 24,0 1 1 2,1 0 1 1,1.0060245099761884;21 22 23 24,0 0 0 1,1 0 0 1,1.0057652020433518;21 22 23 24,0 0 0 1,0 1 0 1,1.0069067182910039;21 22 23 24,0 0 0 1,0 0 1 1,1.0041537056942085;21 22 23 24,0 1 2 0,0 1 1 1,1.0068153847030021;21 22 23 24,0 1 2 0,1 1 1 0,1.009000393675213;21 22 23 24,0 1 2 1,1 0 1 1,1.005557234161306;21 22 23 24,0 1 2 1,1 1 1 0,1.008275964953416;21 22 23 24,0 1 2 2,1 1 0 1,1.0103922540455148;21 22 23 24,0 1 2 2,1 1 1 0,1.010949704022521;21 22 23 24,0 0 1 0,0 0 1 1,1.0041537056942085;21 22 23 24,0 0 1 0,1 0 1 0,1.0060733981066106;21 22 23 24,0 0 1 0,0 1 1 0,1.0067276034068025;21 22 23 24,0 0 1 1,1 0 0 1,1.0042577837215627;21 22 23 24,0 0 1 1,1 0 1 0,1.0044998728573187;21 22 23 24,0 0 1 1,0 1 0 1,1.0049926693135094;21 22 23 24,0 0 1 1,0 1 1 0,1.005246403616302;21 22 23 24,0 1 0 0,0 1 0 1,1.006869201989448;21 22 23 24,0 1 0 0,1 1 0 0,1.0098741594673695;21 22 23 24,0 1 0 0,0 1 1 0,1.006663096854944;21 22 23 24,0 1 0 1,1 0 0 1,1.0024331856102389;21 22 23 24,0 1 0 1,1 1 0 0,1.0046503152840351;21 22 23 24,0 1 0 1,0 0 1 1,1.0011028771060515;21 22 23 24,0 1 0 1,0 1 1 0,1.0032503545081133;21 22 23 24,0 1 1 0,0 1 0 1,1.0036892206888826;21 22 23 24,0 1 1 0,0 0 1 1,1.00162427551404;21 22 23 24,0 1 1 0,1 1 0 0,1.0053713903363164;21 22 23 24,0 1 1 0,1 0 1 0,1.0032008616858206;21 22 23 24,0 1 1 1,1 0 0 1,1.0068556859007227;21 22 23 24,0 1 1 1,1 1 0 0,1.0098741594673695;21 22 23 24,0 1 1 1,1 0 1 0,1.0057453348226852;21 22 23 24,0 0 0 0,0 0 0 1,1.002464735855899;21 22 23 24,0 0 0 0,1 0 0 0,1.0044918610728075;21 22 23 24,0 0 0 0,0 1 0 0,1.0054491933706262;21 22 23 24,0 0 0 0,0 0 1 0,1.002444000777667;
21 1614,0 0,1 0,0;21 1614,0 0,0 1,0;
1614 1615,0 0,1 0,0;1614 1615,0 0,0 1,0;
1615 1616,0 0,1 0,0;1615 1616,0 0,0 1,0;
1616 1617,0 0,1 0,0;1616 1617,0 0,0 1,0;
1617 1618,0 0,1 0,0;1617 1618,0 0,0 1,0;
1618 1619,0 0,1 0,0;1618 1619,0 0,0 1,0;
1619 1620,0 0,1 0,0;1619 1620,0 0,0 1,0;
1620 1621,0 0,1 0,0;1620 1621,0 0,0 1,0;
26 1621,0 0,1 0,0;26 1621,0 0,0 1,0;
26 27 28,0 1 2,1 1 1,1.0137058777446748;26 27 28,0 0 1,1 0 1,1.0033175685340459;26 27 28,0 0 1,0 1 1,1.005310561528261;26 27 28,0 1 0,1 1 0,1.0057281918733527;26 27 28,0 1 0,0 1 1,1.0065998557007907;26 27 28,0 1 1,1 1 0,1.0059793851804173;26 27 28,0 1 1,1 0 1,1.0043868483288196;26 27 28,0 0 0,1 0 0,1.0024373068084402;26 27 28,0 0 0,0 1 0,1.0040414690276618;26 27 28,0 0 0,0 0 1,1.0028276060217616;
27 1622,0 0,1 0,0;27 1622,0 0,0 1,0;
1622 1623,0 0,1 0,0;1622 1623,0 0,0 1,0;
1623 1624,0 0,1 0,0;1623 1624,0 0,0 1,0;
1624 1625,0 0,1 0,0;1624 1625,0 0,0 1,0;
30 1625,0 0,1 0,0;30 1625,0 0,0 1,0;
30 31 32,0 1 2,1 1 1,1.0135827748090571;30 31 32,0 0 1,1 0 1,1.0034508971273726;30 31 32,0 0 1,0 1 1,1.0054264391124939;30 31 32,0 1 0,0 1 1,1.005495122631181;30 31 32,0 1 0,1 1 0,1.0042352733451856;30 31 32,0 1 1,1 0 1,1.0049807360329688;30 31 32,0 1 1,1 1 0,1.0056246120778503;30 31 32,0 0 0,0 0 1,1.0035952435744642;30 31 32,0 0 0,1 0 0,1.0022525782510516;30 31 32,0 0 0,0 1 0,1.003444124876834;
31 1626,0 0,1 0,0;31 1626,0 0,0 1,0;
1626 1627,0 0,1 0,0;1626 1627,0 0,0 1,0;
1627 1628,0 0,1 0,0;1627 1628,0 0,0 1,0;
1628 1629,0 0,1 0,0;1628 1629,0 0,0 1,0;
1629 1630,0 0,1 0,0;1629 1630,0 0,0 1,0;
1630 1631,0 0,1 0,0;1630 1631,0 0,0 1,0;
1631 1632,0 0,1 0,0;1631 1632,0 0,0 1,0;
1632 1633,0 0,1 0,0;1632 1633,0 0,0 1,0;
1633 1634,0 0,1 0,0;1633 1634,0 0,0 1,0;
1634 1635,0 0,1 0,0;1634 1635,0 0,0 1,0;
1635 1636,0 0,1 0,0;1635 1636,0 0,0 1,0;
1636 1637,0 0,1 0,0;1636 1637,0 0,0 1,0;
1637 1638,0 0,1 0,0;1637 1638,0 0,0 1,0;
1638 1639,0 0,1 0,0;1638 1639,0 0,0 1,0;
1639 1640,0 0,1 0,0;1639 1640,0 0,0 1,0;
1640 1641,0 0,1 0,0;1640 1641,0 0,0 1,0;
1641 1642,0 0,1 0,0;1641 1642,0 0,0 1,0;
1642 1643,0 0,1 0,0;1642 1643,0 0,0 1,0;
1643 1644,0 0,1 0,0;1643 1644,0 0,0 1,0;
1644 1645,0 0,1 0,0;1644 1645,0 0,0 1,0;
1645 1646,0 0,1 0,0;1645 1646,0 0,0 1,0;
1646 1647,0 0,1 0,0;1646 1647,0 0,0 1,0;
1647 1648,0 0,1 0,0;1647 1648,0 0,0 1,0;
1648 1649,0 0,1 0,0;1648 1649,0 0,0 1,0;
1649 1650,0 0,1 0,0;1649 1650,0 0,0 1,0;
1650 1651,0 0,1 0,0;1650 1651,0 0,0 1,0;
1651 1652,0 0,1 0,0;1651 1652,0 0,0 1,0;
1652 1653,0 0,1 0,0;1652 1653,0 0,0 1,0;
1653 1654,0 0,1 0,0;1653 1654,0 0,0 1,0;
1654 1655,0 0,1 0,0;1654 1655,0 0,0 1,0;
34 1655,0 0,1 0,0;34 1655,0 0,0 1,0;
36 1656,0 0,1 0,0;36 1656,0 0,0 1,0;
1656 1657,0 0,1 0,0;1656 1657,0 0,0 1,0;
1657 1658,0 0,1 0,0;1657 1658,0 0,0 1,0;
1658 1659,0 0,1 0,0;1658 1659,0 0,0 1,0;
1659 1660,0 0,1 0,0;1659 1660,0 0,0 1,0;
1660 1661,0 0,1 0,0;1660 1661,0 0,0 1,0;
1661 1662,0 0,1 0,0;1661 1662,0 0,0 1,0;
1662 1663,0 0,1 0,0;1662 1663,0 0,0 1,0;
1663 1664,0 0,1 0,0;1663 1664,0 0,0 1,0;
1664 1665,0 0,1 0,0;1664 1665,0 0,0 1,0;
1665 1666,0 0,1 0,0;1665 1666,0 0,0 1,0;
1666 1667,0 0,1 0,0;1666 1667,0 0,0 1,0;
1667 1668,0 0,1 0,0;1667 1668,0 0,0 1,0;
1668 1669,0 0,1 0,0;1668 1669,0 0,0 1,0;
37 1669,0 0,1 0,0;37 1669,0 0,0 1,0;
37 38 39,0 1 2,1 1 1,1.0134747064078111;37 38 39,0 0 1,1 0 1,1.0037458690083647;37 38 39,0 0 1,0 1 1,1.0049517646009518;37 38 39,0 1 0,1 1 0,1.0053500282590422;37 38 39,0 1 0,0 1 1,1.0061268903567242;37 38 39,0 1 1,1 1 0,1.0062016170063426;37 38 39,0 1 1,1 0 1,1.005323629577898;37 38 39,0 0 0,1 0 0,1.002900381215842;37 38 39,0 0 0,0 1 0,1.0044729483166495;37 38 39,0 0 0,0 0 1,1.002726788142525;
38 1670,0 0,1 0,0;38 1670,0 0,0 1,0;
1670 1671,0 0,1 0,0;1670 1671,0 0,0 1,0;
1671 1672,0 0,1 0,0;1671 1672,0 0,0 1,0;
1672 1673,0 0,1 0,0;1672 1673,0 0,0 1,0;
1673 1674,0 0,1 0,0;1673 1674,0 0,0 1,0;
41 1674,0 0,1 0,0;41 1674,0 0,0 1,0;
43 1675,0 0,1 0,0;43 1675,0 0,0 1,0;
1675 1676,0 0,1 0,0;1675 1676,0 0,0 1,0;
1676 1677,0 0,1 0,0;1676 1677,0 0,0 1,0;
1677 1678,0 0,1 0,0;1677 1678,0 0,0 1,0;
44 1678,0 0,1 0,0;44 1678,0 0,0 1,0;
46 1679,0 0,1 0,0;46 1679,0 0,0 1,0;
1679 1680,0 0,1 0,0;1679 1680,0 0,0 1,0;
1680 1681,0 0,1 0,0;1680 1681,0 0,0 1,0;
1681 1682,0 0,1 0,0;1681 1682,0 0,0 1,0;
1682 1683,0 0,1 0,0;1682 1683,0 0,0 1,0;
1683 1684,0 0,1 0,0;1683 1684,0 0,0 1,0;
47 1684,0 0,1 0,0;47 1684,0 0,0 1,0;
47 48 49,0 1 2,1 1 1,1.0126966800628292;47 48 49,0 0 1,0 1 1,1.005129478235987;47 48 49,0 0 1,1 0 1,1.004514285445752;47 48 49,0 1 0,0 1 1,1.004200583517783;47 48 49,0 1 0,1 1 0,1.0032570358907553;47 48 49,0 1 1,1 1 0,1.0048386551920818;47 48 49,0 1 1,1 0 1,1.0055992346941198;47 48 49,0 0 0,0 1 0,1.0026864210795212;47 48 49,0 0 0,0 0 1,1.0039885101947799;47 48 49,0 0 0,1 0 0,1.002761268173529;
51 1685,0 0,1 0,0;51 1685,0 0,0 1,0;
1685 1686,0 0,1 0,0;1685 1686,0 0,0 1,0;
1686 1687,0 0,1 0,0;1686 1687,0 0,0 1,0;
1687 1688,0 0,1 0,0;1687 1688,0 0,0 1,0;
1688 1689,0 0,1 0,0;1688 1689,0 0,0 1,0;
1689 1690,0 0,1 0,0;1689 1690,0 0,0 1,0;
1690 1691,0 0,1 0,0;1690 1691,0 0,0 1,0;
1691 1692,0 0,1 0,0;1691 1692,0 0,0 1,0;
1692 1693,0 0,1 0,0;1692 1693,0 0,0 1,0;
1693 1694,0 0,1 0,0;1693 1694,0 0,0 1,0;
1694 1695,0 0,1 0,0;1694 1695,0 0,0 1,0;
1695 1696,0 0,1 0,0;1695 1696,0 0,0 1,0;
1696 1697,0 0,1 0,0;1696 1697,0 0,0 1,0;
1697 1698,0 0,1 0,0;1697 1698,0 0,0 1,0;
1698 1699,0 0,1 0,0;1698 1699,0 0,0 1,0;
1699 1700,0 0,1 0,0;1699 1700,0 0,0 1,0;
52 1700,0 0,1 0,0;52 1700,0 0,0 1,0;
52 53 54,0 1 2,1 1 1,1.118203084956807;52 53 54,0 0 1,1 0 1,1.116601070897508;52 53 54,0 0 1,0 1 1,1.1181430776102899;52 53 54,0 1 0,1 1 0,1.0052951330540507;52 53 54,0 1 0,0 1 1,1.1181430776102899;52 53 54,0 1 1,1 1 0,1.006794303281747;52 53 54,0 1 1,1 0 1,1.116601070897508;52 53 54,0 0 0,1 0 0,1.0025481647819814;52 53 54,0 0 0,0 1 0,1.0053880173729093;52 53 54,0 0 0,0 0 1,1.1165410635509911;
53 1701,0 0,1 0,0;53 1701,0 0,0 1,0;
1701 1702,0 0,1 0,0;1701 1702,0 0,0 1,0;
1702 1703,0 0,1 0,0;1702 1703,0 0,0 1,0;
1703 1704,0 0,1 0,0;1703 1704,0 0,0 1,0;
1704 1705,0 0,1 0,0;1704 1705,0 0,0 1,0;
1705 1706,0 0,1 0,0;1705 1706,0 0,0 1,0;
1706 1707,0 0,1 0,0;1706 1707,0 0,0 1,0;
1707 1708,0 0,1 0,0;1707 1708,0 0,0 1,0;
1708 1709,0 0,1 0,0;1708 1709,0 0,0 1,0;
1709 1710,0 0,1 0,0;1709 1710,0 0,0 1,0;
1710 1711,0 0,1 0,0;1710 1711,0 0,0 1,0;
1711 1712,0 0,1 0,0;1711 1712,0 0,0 1,0;
1712 1713,0 0,1 0,0;1712 1713,0 0,0 1,0;
1713 1714,0 0,1 0,0;1713 1714,0 0,0 1,0;
1714 1715,0 0,1 0,0;1714 1715,0 0,0 1,0;
1715 1716,0 0,1 0,0;1715 1716,0 0,0 1,0;
1716 1717,0 0,1 0,0;1716 1717,0 0,0 1,0;
1717 1718,0 0,1 0,0;1717 1718,0 0,0 1,0;
1718 1719,0 0,1 0,0;1718 1719,0 0,0 1,0;
1719 1720,0 0,1 0,0;1719 1720,0 0,0 1,0;
1720 1721,0 0,1 0,0;1720 1721,0 0,0 1,0;
1721 1722,0 0,1 0,0;1721 1722,0 0,0 1,0;
1722 1723,0 0,1 0,0;1722 1723,0 0,0 1,0;
1723 1724,0 0,1 0,0;1723 1724,0 0,0 1,0;
56 1724,0 0,1 0,0;56 1724,0 0,0 1,0;
56 57 58,0 1 2,1 1 1,1.0133586897562468;56 57 58,0 0 1,1 0 1,1.0034015965120218;56 57 58,0 0 1,0 1 1,1.0050674900407215;56 57 58,0 1 0,1 1 0,1.0056833762330586;56 57 58,0 1 0,0 1 1,1.007070117312648;56 57 58,0 1 1,1 1 0,1.0050545174305603;56 57 58,0 1 1,1 0 1,1.0041772516736882;56 57 58,0 0 0,1 0 0,1.0023191964067157;56 57 58,0 0 0,0 1 0,1.0036221409024484;56 57 58,0 0 0,0 0 1,1.0033660816888106;
57 1725,0 0,1 0,0;57 1725,0 0,0 1,0;
1725 1726,0 0,1 0,0;1725 1726,0 0,0 1,0;
1726 1727,0 0,1 0,0;1726 1727,0 0,0 1,0;
1727 1728,0 0,1 0,0;1727 1728,0 0,0 1,0;
1728 1729,0 0,1 0,0;1728 1729,0 0,0 1,0;
1729 1730,0 0,1 0,0;1729 1730,0 0,0 1,0;
60 1730,0 0,1 0,0;60 1730,0 0,0 1,0;
60 61 62,0 1 2,1 1 1,1.1173715331413643;60 61 62,0 0 1,1 0 1,1.1165614818489038;60 61 62,0 0 1,0 1 1,1.1173511148434516;60 61 62,0 1 0,1 1 0,1.00562670417705;60 61 62,0 1 0,0 1 1,1.1173511148434516;60 61 62,0 1 1,1 1 0,1.0058629943163764;60 61 62,0 1 1,1 0 1,1.1165614818489038;60 61 62,0 0 0,1 0 0,1.0020837786562067;60 61 62,0 0 0,0 1 0,1.0044854225615338;60 61 62,0 0 0,0 0 1,1.1165410635509911;
61 1731,0 0,1 0,0;61 1731,0 0,0 1,0;
1731 1732,0 0,1 0,0;1731 1732,0 0,0 1,0;
1732 1733,0 0,1 0,0;1732 1733,0 0,0 1,0;
1733 1734,0 0,1 0,0;1733 1734,0 0,0 1,0;
1734 1735,0 0,1 0,0;1734 1735,0 0,0 1,0;
64 1735,0 0,1 0,0;64 1735,0 0,0 1,0;
64 65 66,0 1 2,1 1 1,1.119143313101482;64 65 66,0 0 1,1 0 1,1.1165491784039634;64 65 66,0 0 1,0 1 1,1.1191351982485098;64 65 66,0 1 0,1 1 0,1.008000150738367;64 65 66,0 1 0,0 1 1,1.1191351982485098;64 65 66,0 1 1,1 1 0,1.0072235710322732;64 65 66,0 1 1,1 0 1,1.1165491784039634;64 65 66,0 0 0,1 0 0,1.0022477978678894;64 65 66,0 0 0,0 1 0,1.0061781642119472;64 65 66,0 0 0,0 0 1,1.1165410635509911;
65 1736,0 0,1 0,0;65 1736,0 0,0 1,0;
1736 1737,0 0,1 0,0;1736 1737,0 0,0 1,0;
1737 1738,0 0,1 0,0;1737 1738,0 0,0 1,0;
1738 1739,0 0,1 0,0;1738 1739,0 0,0 1,0;
1739 1740,0 0,1 0,0;1739 1740,0 0,0 1,0;
1740 1741,0 0,1 0,0;1740 1741,0 0,0 1,0;
1741 1742,0 0,1 0,0;1741 1742,0 0,0 1,0;
1742 1743,0 0,1 0,0;1742 1743,0 0,0 1,0;
1743 1744,0 0,1 0,0;1743 1744,0 0,0 1,0;
1744 1745,0 0,1 0,0;1744 1745,0 0,0 1,0;
1745 1746,0 0,1 0,0;1745 1746,0 0,0 1,0;
1746 1747,0 0,1 0,0;1746 1747,0 0,0 1,0;
1747 1748,0 0,1 0,0;1747 1748,0 0,0 1,0;
1748 1749,0 0,1 0,0;1748 1749,0 0,0 1,0;
1749 1750,0 0,1 0,0;1749 1750,0 0,0 1,0;
1750 1751,0 0,1 0,0;1750 1751,0 0,0 1,0;
1751 1752,0 0,1 0,0;1751 1752,0 0,0 1,0;
1752 1753,0 0,1 0,0;1752 1753,0 0,0 1,0;
1753 1754,0 0,1 0,0;1753 1754,0 0,0 1,0;
1754 1755,0 0,1 0,0;1754 1755,0 0,0 1,0;
68 1755,0 0,1 0,0;68 1755,0 0,0 1,0;
