1,0,1,0;
2471 2472,0 0,1 0,0;2471 2472,0 0,0 1,0;
2472 2473,0 0,1 0,0;2472 2473,0 0,0 1,0;
2473 2474,0 0,1 0,0;2473 2474,0 0,0 1,0;
2474 2475,0 0,1 0,0;2474 2475,0 0,0 1,0;
2475 2476,0 0,1 0,0;2475 2476,0 0,0 1,0;
2476 2477,0 0,1 0,0;2476 2477,0 0,0 1,0;
2477 2478,0 0,1 0,0;2477 2478,0 0,0 1,0;
2478 2479,0 0,1 0,0;2478 2479,0 0,0 1,0;
37 2479,0 0,1 0,0;37 2479,0 0,0 1,0;
37 38 39,0 1 2,1 1 1,1.0786453046838587;37 38 39,0 0 1,1 0 1,1.0785986227898645;37 38 39,0 0 1,0 1 1,1.0023879767818469;37 38 39,0 1 0,1 1 0,1.0784470337373881;37 38 39,0 1 0,0 1 1,1.0030855688580222;37 38 39,0 1 1,1 1 0,1.0784470337373881;37 38 39,0 1 1,1 0 1,1.0785986227898645;37 38 39,0 0 0,1 0 0,1.078400351843394;37 38 39,0 0 0,0 1 0,1.0012409025038433;37 38 39,0 0 0,0 0 1,1.0025954602696399;
38 2480,0 0,1 0,0;38 2480,0 0,0 1,0;
2480 2481,0 0,1 0,0;2480 2481,0 0,0 1,0;
2481 2482,0 0,1 0,0;2481 2482,0 0,0 1,0;
2482 2483,0 0,1 0,0;2482 2483,0 0,0 1,0;
2483 2484,0 0,1 0,0;2483 2484,0 0,0 1,0;
2484 2485,0 0,1 0,0;2484 2485,0 0,0 1,0;
2485 2486,0 0,1 0,0;2485 2486,0 0,0 1,0;
2486 2487,0 0,1 0,0;2486 2487,0 0,0 1,0;
2487 2488,0 0,1 0,0;2487 2488,0 0,0 1,0;
2488 2489,0 0,1 0,0;2488 2489,0 0,0 1,0;
2489 2490,0 0,1 0,0;2489 2490,0 0,0 1,0;
2490 2491,0 0,1 0,0;2490 2491,0 0,0 1,0;
2491 2492,0 0,1 0,0;2491 2492,0 0,0 1,0;
2492 2493,0 0,1 0,0;2492 2493,0 0,0 1,0;
2493 2494,0 0,1 0,0;2493 2494,0 0,0 1,0;
2494 2495,0 0,1 0,0;2494 2495,0 0,0 1,0;
2495 2496,0 0,1 0,0;2495 2496,0 0,0 1,0;
2496 2497,0 0,1 0,0;2496 2497,0 0,0 1,0;
2497 2498,0 0,1 0,0;2497 2498,0 0,0 1,0;
2498 2499,0 0,1 0,0;2498 2499,0 0,0 1,0;
2499 2500,0 0,1 0,0;2499 2500,0 0,0 1,0;
2500 2501,0 0,1 0,0;2500 2501,0 0,0 1,0;
41 2501,0 0,1 0,0;41 2501,0 0,0 1,0;
41 42 43,0 1 2,1 1 1,1.0790155702532933;41 42 43,0 0 1,1 0 1,1.0037238372970099;41 42 43,0 0 1,0 1 1,1.0784003524029575;41 42 43,0 1 0,1 1 0,1.0790155696937298;41 42 43,0 1 0,0 1 1,1.0784003524029575;41 42 43,0 1 1,1 1 0,1.0790155696937298;41 42 43,0 1 1,1 0 1,1.0035816214895512;41 42 43,0 0 0,1 0 0,1.0025161749367153;41 42 43,0 0 0,0 1 0,1.078400351843394;41 42 43,0 0 0,0 0 1,1.0012276742102653;
44 45 46,0 1 2,1 1 1,1.0089475081702375;44 45 46,0 0 1,1 0 1,1.0024957055238337;44 45 46,0 0 1,0 1 1,1.0037916120059447;44 45 46,0 1 0,1 1 0,1.0025934292276202;44 45 46,0 1 0,0 1 1,1.0033200100723543;44 45 46,0 1 1,1 1 0,1.0036812406429938;44 45 46,0 1 1,1 0 1,1.0032868614339696;44 45 46,0 0 0,1 0 0,1.0015429729824414;44 45 46,0 0 0,0 1 0,1.002884199339012;44 45 46,0 0 0,0 0 1,1.0021550007485396;
44 2502,0 0,1 0,0;44 2502,0 0,0 1,0;
2502 2503,0 0,1 0,0;2502 2503,0 0,0 1,0;
2503 2504,0 0,1 0,0;2503 2504,0 0,0 1,0;
2504 2505,0 0,1 0,0;2504 2505,0 0,0 1,0;
2505 2506,0 0,1 0,0;2505 2506,0 0,0 1,0;
2506 2507,0 0,1 0,0;2506 2507,0 0,0 1,0;
2507 2508,0 0,1 0,0;2507 2508,0 0,0 1,0;
2508 2509,0 0,1 0,0;2508 2509,0 0,0 1,0;
2509 2510,0 0,1 0,0;2509 2510,0 0,0 1,0;
2510 2511,0 0,1 0,0;2510 2511,0 0,0 1,0;
2511 2512,0 0,1 0,0;2511 2512,0 0,0 1,0;
2512 2513,0 0,1 0,0;2512 2513,0 0,0 1,0;
2513 2514,0 0,1 0,0;2513 2514,0 0,0 1,0;
2514 2515,0 0,1 0,0;2514 2515,0 0,0 1,0;
2515 2516,0 0,1 0,0;2515 2516,0 0,0 1,0;
48 2516,0 0,1 0,0;48 2516,0 0,0 1,0;
48 49 50,0 1 2,1 1 1,1.0807823412793505;48 49 50,0 0 1,1 0 1,1.0807664900248513;48 49 50,0 0 1,0 1 1,1.0784162030978932;48 49 50,0 1 0,1 1 0,1.0056630735610776;48 49 50,0 1 0,0 1 1,1.0784162030978932;48 49 50,0 1 1,1 1 0,1.0058175410214494;48 49 50,0 1 1,1 0 1,1.0807664900248513;48 49 50,0 0 0,1 0 0,1.004423088323065;48 49 50,0 0 0,0 1 0,1.0015279850643843;48 49 50,0 0 0,0 0 1,1.078400351843394;
49 2517,0 0,1 0,0;49 2517,0 0,0 1,0;
2517 2518,0 0,1 0,0;2517 2518,0 0,0 1,0;
2518 2519,0 0,1 0,0;2518 2519,0 0,0 1,0;
2519 2520,0 0,1 0,0;2519 2520,0 0,0 1,0;
2520 2521,0 0,1 0,0;2520 2521,0 0,0 1,0;
2521 2522,0 0,1 0,0;2521 2522,0 0,0 1,0;
2522 2523,0 0,1 0,0;2522 2523,0 0,0 1,0;
2523 2524,0 0,1 0,0;2523 2524,0 0,0 1,0;
52 2524,0 0,1 0,0;52 2524,0 0,0 1,0;
52 53 54,0 1 2,1 1 1,1.0088926388955204;52 53 54,0 0 1,1 0 1,1.0033359757129359;52 53 54,0 0 1,0 1 1,1.0022476394301927;52 53 54,0 1 0,1 1 0,1.0035769882701435;52 53 54,0 1 0,0 1 1,1.0032515636898522;52 53 54,0 1 1,1 1 0,1.0028322124817282;52 53 54,0 1 1,1 0 1,1.0037683683379062;52 53 54,0 0 0,1 0 0,1.002327524661638;52 53 54,0 0 0,0 1 0,1.0014166776249962;52 53 54,0 0 0,0 0 1,1.0022845543885786;
53 2525,0 0,1 0,0;53 2525,0 0,0 1,0;
2525 2526,0 0,1 0,0;2525 2526,0 0,0 1,0;
2526 2527,0 0,1 0,0;2526 2527,0 0,0 1,0;
2527 2528,0 0,1 0,0;2527 2528,0 0,0 1,0;
2528 2529,0 0,1 0,0;2528 2529,0 0,0 1,0;
2529 2530,0 0,1 0,0;2529 2530,0 0,0 1,0;
56 2530,0 0,1 0,0;56 2530,0 0,0 1,0;
58 2531,0 0,1 0,0;58 2531,0 0,0 1,0;
2531 2532,0 0,1 0,0;2531 2532,0 0,0 1,0;
2532 2533,0 0,1 0,0;2532 2533,0 0,0 1,0;
2533 2534,0 0,1 0,0;2533 2534,0 0,0 1,0;
59 2534,0 0,1 0,0;59 2534,0 0,0 1,0;
61 2535,0 0,1 0,0;61 2535,0 0,0 1,0;
2535 2536,0 0,1 0,0;2535 2536,0 0,0 1,0;
2536 2537,0 0,1 0,0;2536 2537,0 0,0 1,0;
2537 2538,0 0,1 0,0;2537 2538,0 0,0 1,0;
2538 2539,0 0,1 0,0;2538 2539,0 0,0 1,0;
2539 2540,0 0,1 0,0;2539 2540,0 0,0 1,0;
2540 2541,0 0,1 0,0;2540 2541,0 0,0 1,0;
2541 2542,0 0,1 0,0;2541 2542,0 0,0 1,0;
2542 2543,0 0,1 0,0;2542 2543,0 0,0 1,0;
2543 2544,0 0,1 0,0;2543 2544,0 0,0 1,0;
2544 2545,0 0,1 0,0;2544 2545,0 0,0 1,0;
2545 2546,0 0,1 0,0;2545 2546,0 0,0 1,0;
2546 2547,0 0,1 0,0;2546 2547,0 0,0 1,0;
2547 2548,0 0,1 0,0;2547 2548,0 0,0 1,0;
2548 2549,0 0,1 0,0;2548 2549,0 0,0 1,0;
2549 2550,0 0,1 0,0;2549 2550,0 0,0 1,0;
2550 2551,0 0,1 0,0;2550 2551,0 0,0 1,0;
2551 2552,0 0,1 0,0;2551 2552,0 0,0 1,0;
2552 2553,0 0,1 0,0;2552 2553,0 0,0 1,0;
62 2553,0 0,1 0,0;62 2553,0 0,0 1,0;
64 2554,0 0,1 0,0;64 2554,0 0,0 1,0;
2554 2555,0 0,1 0,0;2554 2555,0 0,0 1,0;
65 2555,0 0,1 0,0;65 2555,0 0,0 1,0;
65 66 67,0 1 2,1 1 1,1.0088707242108716;65 66 67,0 0 1,1 0 1,1.0034971774587795;65 66 67,0 0 1,0 1 1,1.0026799342346497;65 66 67,0 1 0,1 1 0,1.0029955470603134;65 66 67,0 1 0,0 1 1,1.0031164454992334;65 66 67,0 1 1,1 1 0,1.0029909527932663;65 66 67,0 1 1,1 0 1,1.0041251575039716;65 66 67,0 0 0,1 0 0,1.0018725813947897;65 66 67,0 0 0,0 1 0,1.001029026687602;65 66 67,0 0 0,0 0 1,1.0021038527940915;
66 2556,0 0,1 0,0;66 2556,0 0,0 1,0;
2556 2557,0 0,1 0,0;2556 2557,0 0,0 1,0;
2557 2558,0 0,1 0,0;2557 2558,0 0,0 1,0;
2558 2559,0 0,1 0,0;2558 2559,0 0,0 1,0;
2559 2560,0 0,1 0,0;2559 2560,0 0,0 1,0;
2560 2561,0 0,1 0,0;2560 2561,0 0,0 1,0;
2561 2562,0 0,1 0,0;2561 2562,0 0,0 1,0;
2562 2563,0 0,1 0,0;2562 2563,0 0,0 1,0;
2563 2564,0 0,1 0,0;2563 2564,0 0,0 1,0;
2564 2565,0 0,1 0,0;2564 2565,0 0,0 1,0;
69 2565,0 0,1 0,0;69 2565,0 0,0 1,0;
