1,0,1,0;
2250 2251,0 0,1 0,0;2250 2251,0 0,0 1,0;
2251 2252,0 0,1 0,0;2251 2252,0 0,0 1,0;
2252 2253,0 0,1 0,0;2252 2253,0 0,0 1,0;
2253 2254,0 0,1 0,0;2253 2254,0 0,0 1,0;
2254 2255,0 0,1 0,0;2254 2255,0 0,0 1,0;
2255 2256,0 0,1 0,0;2255 2256,0 0,0 1,0;
2256 2257,0 0,1 0,0;2256 2257,0 0,0 1,0;
2257 2258,0 0,1 0,0;2257 2258,0 0,0 1,0;
2258 2259,0 0,1 0,0;2258 2259,0 0,0 1,0;
2259 2260,0 0,1 0,0;2259 2260,0 0,0 1,0;
2260 2261,0 0,1 0,0;2260 2261,0 0,0 1,0;
2261 2262,0 0,1 0,0;2261 2262,0 0,0 1,0;
2262 2263,0 0,1 0,0;2262 2263,0 0,0 1,0;
2263 2264,0 0,1 0,0;2263 2264,0 0,0 1,0;
2264 2265,0 0,1 0,0;2264 2265,0 0,0 1,0;
2265 2266,0 0,1 0,0;2265 2266,0 0,0 1,0;
51 2266,0 0,1 0,0;51 2266,0 0,0 1,0;
51 52 53 54,0 1 2 3,1 1 1 1,1.0108017732907042;51 52 53 54,0 0 1 2,1 0 1 1,1.0061082617328105;51 52 53 54,0 0 1 2,0 1 1 1,1.0049748774238385;51 52 53 54,0 1 0 2,1 1 0 1,1.0049772718670464;51 52 53 54,0 1 0 2,0 1 1 1,1.0056428546354907;51 52 53 54,0 1 1 2,1 1 0 1,1.0039899544224107;51 52 53 54,0 1 1 2,1 0 1 1,1.0054850266547728;51 52 53 54,0 0 0 1,1 0 0 1,1.004268097467974;51 52 53 54,0 0 0 1,0 1 0 1,1.0034507726511486;51 52 53 54,0 0 0 1,0 0 1 1,1.0050074292740965;51 52 53 54,0 1 2 0,1 1 1 0,1.006935370626209;51 52 53 54,0 1 2 0,0 1 1 1,1.0054912552393533;51 52 53 54,0 1 2 1,1 1 1 0,1.0075780141659896;51 52 53 54,0 1 2 1,1 0 1 1,1.0074132856028553;51 52 53 54,0 1 2 2,1 1 1 0,1.0057645346532473;51 52 53 54,0 1 2 2,1 1 0 1,1.0040862184516361;51 52 53 54,0 0 1 0,1 0 1 0,1.0071425902917557;51 52 53 54,0 0 1 0,0 1 1 0,1.0057120896556078;51 52 53 54,0 0 1 0,0 0 1 1,1.0039355407062138;51 52 53 54,0 0 1 1,1 0 1 0,1.0033617971760609;51 52 53 54,0 0 1 1,1 0 0 1,1.0019923384590999;51 52 53 54,0 0 1 1,0 1 1 0,1.0025013894744719;51 52 53 54,0 0 1 1,0 1 0 1,1.0011877494961923;51 52 53 54,0 1 0 0,1 1 0 0,1.0044966916947768;51 52 53 54,0 1 0 0,0 1 1 0,1.0046924957614214;51 52 53 54,0 1 0 0,0 1 0 1,1.0034507726511486;51 52 53 54,0 1 0 1,1 1 0 0,1.003262438045092;51 52 53 54,0 1 0 1,1 0 0 1,1.0031210935001402;51 52 53 54,0 1 0 1,0 1 1 0,1.0037840282339587;51 52 53 54,0 1 0 1,0 0 1 1,1.0036404097813738;51 52 53 54,0 1 1 0,1 1 0 0,1.0023007983336336;51 52 53 54,0 1 1 0,1 0 1 0,1.0035773030835526;51 52 53 54,0 1 1 0,0 1 0 1,1.0013427052030563;51 52 53 54,0 1 1 0,0 0 1 1,1.0025534551707804;51 52 53 54,0 1 1 1,1 1 0 0,1.0051571864008668;51 52 53 54,0 1 1 1,1 0 1 0,1.0071425902917557;51 52 53 54,0 1 1 1,1 0 0 1,1.004268097467974;51 52 53 54,0 0 0 0,1 0 0 0,1.004003456342552;51 52 53 54,0 0 0 0,0 1 0 0,1.002382232672812;51 52 53 54,0 0 0 0,0 0 1 0,1.0046751620839547;51 52 53 54,0 0 0 0,0 0 0 1,1.0022369347850442;
52 2267,0 0,1 0,0;52 2267,0 0,0 1,0;
2267 2268,0 0,1 0,0;2267 2268,0 0,0 1,0;
2268 2269,0 0,1 0,0;2268 2269,0 0,0 1,0;
2269 2270,0 0,1 0,0;2269 2270,0 0,0 1,0;
2270 2271,0 0,1 0,0;2270 2271,0 0,0 1,0;
2271 2272,0 0,1 0,0;2271 2272,0 0,0 1,0;
2272 2273,0 0,1 0,0;2272 2273,0 0,0 1,0;
56 2273,0 0,1 0,0;56 2273,0 0,0 1,0;
56 57 58,0 1 2,1 1 1,1.0098804963269732;56 57 58,0 0 1,1 0 1,1.0030560088849279;56 57 58,0 0 1,0 1 1,1.0033951290063132;56 57 58,0 1 0,1 1 0,1.0041391699760167;56 57 58,0 1 0,0 1 1,1.0034546964172513;56 57 58,0 1 1,1 1 0,1.004406970546536;56 57 58,0 1 1,1 0 1,1.0033046736952898;56 57 58,0 0 0,1 0 0,1.0019576013969815;56 57 58,0 0 0,0 1 0,1.0024904459826116;56 57 58,0 0 0,0 0 1,1.0012154420400943;
57 2274,0 0,1 0,0;57 2274,0 0,0 1,0;
2274 2275,0 0,1 0,0;2274 2275,0 0,0 1,0;
60 2275,0 0,1 0,0;60 2275,0 0,0 1,0;
60 61 62,0 1 2,1 1 1,1.0105234883831387;60 61 62,0 0 1,1 0 1,1.0025592269700203;60 61 62,0 0 1,0 1 1,1.0043754678250099;60 61 62,0 1 0,1 1 0,1.003893762633345;60 61 62,0 1 0,0 1 1,1.0050039297819622;60 61 62,0 1 1,1 1 0,1.0046315613883205;60 61 62,0 1 1,1 0 1,1.003719689300748;60 61 62,0 0 0,1 0 0,1.001615727618686;60 61 62,0 0 0,0 1 0,1.0034454887466142;60 61 62,0 0 0,0 0 1,1.0026826279484344;
61 2276,0 0,1 0,0;61 2276,0 0,0 1,0;
2276 2277,0 0,1 0,0;2276 2277,0 0,0 1,0;
2277 2278,0 0,1 0,0;2277 2278,0 0,0 1,0;
2278 2279,0 0,1 0,0;2278 2279,0 0,0 1,0;
2279 2280,0 0,1 0,0;2279 2280,0 0,0 1,0;
2280 2281,0 0,1 0,0;2280 2281,0 0,0 1,0;
2281 2282,0 0,1 0,0;2281 2282,0 0,0 1,0;
2282 2283,0 0,1 0,0;2282 2283,0 0,0 1,0;
2283 2284,0 0,1 0,0;2283 2284,0 0,0 1,0;
2284 2285,0 0,1 0,0;2284 2285,0 0,0 1,0;
2285 2286,0 0,1 0,0;2285 2286,0 0,0 1,0;
2286 2287,0 0,1 0,0;2286 2287,0 0,0 1,0;
2287 2288,0 0,1 0,0;2287 2288,0 0,0 1,0;
2288 2289,0 0,1 0,0;2288 2289,0 0,0 1,0;
64 2289,0 0,1 0,0;64 2289,0 0,0 1,0;
64 65 66,0 1 2,1 1 1,1.01046231326366;64 65 66,0 0 1,1 0 1,1.0025601747489736;64 65 66,0 0 1,0 1 1,1.0044666995471483;64 65 66,0 1 0,1 1 0,1.0034955292162613;64 65 66,0 1 0,0 1 1,1.0046568706884704;64 65 66,0 1 1,1 1 0,1.0046463306678517;64 65 66,0 1 1,1 0 1,1.0037607386102918;64 65 66,0 0 0,1 0 0,1.0018985933783982;64 65 66,0 0 0,0 1 0,1.003189039196958;64 65 66,0 0 0,0 0 1,1.002935033984998;
65 2290,0 0,1 0,0;65 2290,0 0,0 1,0;
2290 2291,0 0,1 0,0;2290 2291,0 0,0 1,0;
2291 2292,0 0,1 0,0;2291 2292,0 0,0 1,0;
2292 2293,0 0,1 0,0;2292 2293,0 0,0 1,0;
2293 2294,0 0,1 0,0;2293 2294,0 0,0 1,0;
2294 2295,0 0,1 0,0;2294 2295,0 0,0 1,0;
2295 2296,0 0,1 0,0;2295 2296,0 0,0 1,0;
2296 2297,0 0,1 0,0;2296 2297,0 0,0 1,0;
2297 2298,0 0,1 0,0;2297 2298,0 0,0 1,0;
2298 2299,0 0,1 0,0;2298 2299,0 0,0 1,0;
2299 2300,0 0,1 0,0;2299 2300,0 0,0 1,0;
2300 2301,0 0,1 0,0;2300 2301,0 0,0 1,0;
68 2301,0 0,1 0,0;68 2301,0 0,0 1,0;
68 69 70 71,0 1 2 3,1 1 1 1,1.0865655989751744;68 69 70 71,0 0 1 2,1 0 1 1,1.085143917531008;68 69 70 71,0 0 1 2,0 1 1 1,1.0865310376677133;68 69 70 71,0 1 0 2,1 1 0 1,1.0864819764409424;68 69 70 71,0 1 0 2,0 1 1 1,1.0865310376677133;68 69 70 71,0 1 1 2,1 1 0 1,1.0864819764409424;68 69 70 71,0 1 1 2,1 0 1 1,1.085143917531008;68 69 70 71,0 0 0 1,1 0 0 1,1.0850602949967758;68 69 70 71,0 0 0 1,0 1 0 1,1.086447415133481;68 69 70 71,0 0 0 1,0 0 1 1,1.0851093562235468;68 69 70 71,0 1 2 0,1 1 1 0,1.0051352134068778;68 69 70 71,0 1 2 0,0 1 1 1,1.0865310376677133;68 69 70 71,0 1 2 1,1 1 1 0,1.0059976011204044;68 69 70 71,0 1 2 1,1 0 1 1,1.085143917531008;68 69 70 71,0 1 2 2,1 1 1 0,1.0047819865527345;68 69 70 71,0 1 2 2,1 1 0 1,1.0864819764409424;68 69 70 71,0 0 1 0,1 0 1 0,1.0035719577229423;68 69 70 71,0 0 1 0,0 1 1 0,1.0050362638842736;68 69 70 71,0 0 1 0,0 0 1 1,1.0851093562235468;68 69 70 71,0 0 1 1,1 0 1 0,1.000768936555884;68 69 70 71,0 0 1 1,1 0 0 1,1.0850602949967758;68 69 70 71,0 0 1 1,0 1 1 0,1.0025030031453062;68 69 70 71,0 0 1 1,0 1 0 1,1.086447415133481;68 69 70 71,0 1 0 0,1 1 0 0,1.0047778340054705;68 69 70 71,0 1 0 0,0 1 1 0,1.005096710629285;68 69 70 71,0 1 0 0,0 1 0 1,1.086447415133481;68 69 70 71,0 1 0 1,1 1 0 0,1.0038087308582813;68 69 70 71,0 1 0 1,1 0 0 1,1.0850602949967758;68 69 70 71,0 1 0 1,0 1 1 0,1.0038946369595239;68 69 70 71,0 1 0 1,0 0 1 1,1.0851093562235468;68 69 70 71,0 1 1 0,1 1 0 0,1.0028567236172679;68 69 70 71,0 1 1 0,1 0 1 0,1.0011360276144874;68 69 70 71,0 1 1 0,0 1 0 1,1.086447415133481;68 69 70 71,0 1 1 0,0 0 1 1,1.0851093562235468;68 69 70 71,0 1 1 1,1 1 0 0,1.00529806505241;68 69 70 71,0 1 1 1,1 0 1 0,1.0035719577229423;68 69 70 71,0 1 1 1,1 0 0 1,1.0850602949967758;68 69 70 71,0 0 0 0,1 0 0 0,1.001821981457075;68 69 70 71,0 0 0 0,0 1 0 0,1.003716159662333;68 69 70 71,0 0 0 0,0 0 1 0,1.0019323930095494;68 69 70 71,0 0 0 0,0 0 0 1,1.0850257336893145;
69 2302,0 0,1 0,0;69 2302,0 0,0 1,0;
2302 2303,0 0,1 0,0;2302 2303,0 0,0 1,0;
2303 2304,0 0,1 0,0;2303 2304,0 0,0 1,0;
2304 2305,0 0,1 0,0;2304 2305,0 0,0 1,0;
2305 2306,0 0,1 0,0;2305 2306,0 0,0 1,0;
2306 2307,0 0,1 0,0;2306 2307,0 0,0 1,0;
2307 2308,0 0,1 0,0;2307 2308,0 0,0 1,0;
2308 2309,0 0,1 0,0;2308 2309,0 0,0 1,0;
2309 2310,0 0,1 0,0;2309 2310,0 0,0 1,0;
2310 2311,0 0,1 0,0;2310 2311,0 0,0 1,0;
2311 2312,0 0,1 0,0;2311 2312,0 0,0 1,0;
2312 2313,0 0,1 0,0;2312 2313,0 0,0 1,0;
2313 2314,0 0,1 0,0;2313 2314,0 0,0 1,0;
